ID_OREGANO:18333	PHARMGKB	MESH	 SNOMEDCT	 UMLS	 NDFRT	 MEDDRA	SNOMEDCT	NDFRT	 MESH	MEDDRA	UMLS	ORPHANET	ICD-11	ICD-10	OMIM	GARD
DISEASE:11298												529665		Q87.8		
DISEASE:11302												90642	LD2H			
DISEASE:11304												91387	LD28.0Y	I71.2		2249
DISEASE:11305												91396	LA14.01	Q11.2		
DISEASE:11312												91357				
DISEASE:11313												91354	5A61.0	E23.0		
DISEASE:11316												91365				
DISEASE:11317												91358	LB12.4	Q39.6		
DISEASE:11318												91359	CB04.6	J84.0		
DISEASE:11320												91494		Q87.8		
DISEASE:11321												91492	LA12.1	Q12.0		
DISEASE:11326												91415				
DISEASE:11328												91491	LA14.03	Q13.8		
DISEASE:11330												91489	LA11.1	Q15.8		12648
DISEASE:11332												91127		B34.0		
DISEASE:11333												91128				
DISEASE:11334												91129		Q11.2		
DISEASE:11338												91133				
DISEASE:11344												90970				
DISEASE:11345												91024	8C20.1			12449
DISEASE:11346												91088				
DISEASE:11350												91351	5A61.0	E23.0		
DISEASE:11351												91350		E23.0		
DISEASE:11352												91353				
DISEASE:11354												91136		E72.0		
DISEASE:11357												91137				12741
DISEASE:11358												91140	FA24.Y	M08.8		
DISEASE:11359												91139	4B22	D89.1		6217
DISEASE:11360												528623		D84.1		
DISEASE:11361												91144	5A71.1			
DISEASE:11362												528647	4A00.14	T78.3		
DISEASE:11363												528663		D84.1		
DISEASE:11365												79385				
DISEASE:11367												79383				
DISEASE:11368												79388				
DISEASE:11369												79386				
DISEASE:11370												79387				
DISEASE:11372												79391				
DISEASE:11377												79369				
DISEASE:11379												79367				
DISEASE:11380												79366				
DISEASE:11381												79372				
DISEASE:11382												79370				
DISEASE:11383												79377				
DISEASE:11386												79374				
DISEASE:11387												79381				
DISEASE:11388												79380				
DISEASE:11389												79378				
DISEASE:11391												79428				
DISEASE:11392												79429				
DISEASE:11397												79402		Q81.8		12922
DISEASE:11400												79407		Q81.2		
DISEASE:11401												79406	EC31	Q81.8		12921
DISEASE:11402												79409	EC32	Q81.2		
DISEASE:11403												79408		Q81.2		6308
DISEASE:11407												79450		Q82.0		
DISEASE:11408												79446		Q87.2		10570
DISEASE:11409												79447	LD26.40	Q79.8		4573
DISEASE:11410												79458		L98.8		1488
DISEASE:11411												79459				
DISEASE:11418												79431	EC23.20	E70.3		
DISEASE:11423												79483	LD2D.Y	Q85.8		
DISEASE:11424												79484	LD2D.Y	Q85.8		
DISEASE:11425												79485	LD2D.Y	Q85.8		
DISEASE:11430												79490	LA90.11	D18.1		
DISEASE:11431												79492	ED73.Y	L67.8		
DISEASE:11437												79468		Q82.5		5485
DISEASE:11438												79474	LD2B	E34.8		11910
DISEASE:11448												79255	5C56.00	E75.1		6479
DISEASE:11455												79253		E70.1		10324
DISEASE:11461												79299		E16.1		2818
DISEASE:11462												79298				
DISEASE:11465												79293	5C81.0	E78.6		4011
DISEASE:11471												79282	5C50.E0	D58.8		12128
DISEASE:11479												79277	5C58.12	E80.0		4446
DISEASE:11495												79316				
DISEASE:11496												79317				
DISEASE:11498												79315	5C50.E1	E72.8		5661
DISEASE:11499												79312	5C50.E0	E71.1		
DISEASE:11508												79362				
DISEASE:11510												79359				
DISEASE:11513												79360				
DISEASE:11516												79356				
DISEASE:11518												79350		E72.8		
DISEASE:11519												79353				
DISEASE:11521												79347	LD24.04	Q77.3		
DISEASE:11522												79344				
DISEASE:11533												85198	LD24.2Y	Q78.4		
DISEASE:11535												85200	LD24.H	Q77.8		
DISEASE:11543												85277	LD90	Q87.8		
DISEASE:11547												85281				
DISEASE:11552												85286	LD90	Q87.8		4119
DISEASE:11554												85288	LD90	Q87.8		
DISEASE:11555												85289		Q87.8		
DISEASE:11559												85290	LD90	Q87.8		
DISEASE:11560												85317	LD90	Q87.8		
DISEASE:11562												85295	5C52.01	G25.5		
DISEASE:11565												85320	LD90	Q87.8		
DISEASE:11566												85319	LD90	Q87.8		
DISEASE:11567												85318				
DISEASE:11568												85325	LD90	Q87.8		
DISEASE:11569												85324	LD90	Q87.8		
DISEASE:11570												85323	LD20.2	Q87.8		
DISEASE:11571												85322	LD90	Q87.8		
DISEASE:11573												85329	LD90	Q87.8		
DISEASE:11574												85326	LD90	Q87.8		
DISEASE:11575												85327	LD90	Q87.8		
DISEASE:11578												85330		G11.4		12489
DISEASE:11579												85331				
DISEASE:11580												85336	LD90.Y	G31.8		
DISEASE:11581												85337		G31.8		
DISEASE:11582												85334	LD90	G31.8		
DISEASE:11583												85335		Q87.8		
DISEASE:11586												85338		G31.8		
DISEASE:11587												85408	FA24.1	M08.3		
DISEASE:11589												85442		E23.0		10604
DISEASE:11590												85446	5D00.3	E85.3		
DISEASE:11593												85435	FA24.1	M08.0		
DISEASE:11601												85451	5D00.20	E85.4		
DISEASE:11602												85450	5D00.2Y	E85.0		8282
DISEASE:11605												86814	8A61.32	G40.3		
DISEASE:11609												86797	EB90.1Y	L98.5		
DISEASE:11610												86820	FB82.1	M87.8		10914
DISEASE:11611												86821	LD20.1	Q04.3		
DISEASE:11612												86822	LD20.1	Q04.3		
DISEASE:11613												86823				
DISEASE:11614												86816	5D0Y	R77.0		
DISEASE:11615												512017	2A90.2	C91.7		
DISEASE:11619												512034				
DISEASE:11623												512103	EC20.03	Q80.8		
DISEASE:11624												86830	2A44	D47.1		
DISEASE:11625												512260		G11.0		
DISEASE:11632												86870	2A60.5	C86.4		10556
DISEASE:11635												86861		D89.8		
DISEASE:11651												79501	EC20.32	Q82.8		3103
DISEASE:11652												79669				
DISEASE:11654												83001				
DISEASE:11655												79643		E16.1		
DISEASE:11656												79651	5C50.0Y	E70.1		
DISEASE:11657												79644		E16.1		
DISEASE:11660												83316		A79.8		
DISEASE:11669												83465	7A20.1	G47.4		
DISEASE:11676												83450	DA07.3	K00.4		
DISEASE:11677												83449		E22.2		
DISEASE:11681												83453	EA91.3	L43.8		
DISEASE:11682												514352		Q87.8		
DISEASE:11683												83618		I42.0		
DISEASE:11684												83619		Q87.0		
DISEASE:11685												83620	DA90.Y	P78.3		
DISEASE:11686												83628	LD2F.1Y	Q87.8		
DISEASE:11688												83616		B06.0+;G05.1*		
DISEASE:11689												83617	4A01.00	Q87.0		10011
DISEASE:11693												83482		B96.0		
DISEASE:11695												84085	GC01.Y	N32.8		
DISEASE:11696												84081	GB8Y	Q61.8		
DISEASE:11698												84087		N07.6		
DISEASE:11700												84065	DA96.02	K90.8		
DISEASE:11701												513436		G11.4		
DISEASE:11704												513456		Q87.0		
DISEASE:11705												83648				
DISEASE:11710												85162		G60.0		12036
DISEASE:11711												85142		D35.0		
DISEASE:11715												85112		Q56.0		
DISEASE:11716												84271		N04.8;N04.3 ;N04.1 		
DISEASE:11718												84132	4A41.21	G71.8		
DISEASE:11721												84096				
DISEASE:11723												85184	LD24.1Y	Q78.8		
DISEASE:11729												85172	LD24.D	Q78.8		
DISEASE:11732												85168		Q87.5		
DISEASE:11736												98118				
DISEASE:11737												98119				
DISEASE:11738												98120				
DISEASE:11739												98121				
DISEASE:11740												603448		Q04.8		
DISEASE:11741												98122				
DISEASE:11742												98123				
DISEASE:11743												603515	LB53.Y	Q54.8		
DISEASE:11744												98124				
DISEASE:11745												603494		Q87.8		
DISEASE:11746												98125				
DISEASE:11747												603689		Q87.8		
DISEASE:11748												603684		Q87.8		
DISEASE:11749												98127				
DISEASE:11750												603699				
DISEASE:11751												603694		Q87.8		
DISEASE:11753												98131				
DISEASE:11754												98132				
DISEASE:11755												98103				
DISEASE:11756												98102				
DISEASE:11757												98105				
DISEASE:11758												98104				
DISEASE:11759												98107				
DISEASE:11760												98106				
DISEASE:11761												98109				
DISEASE:11762												98108				
DISEASE:11763												98111				
DISEASE:11764												98110				
DISEASE:11765												98113				
DISEASE:11766												98112				
DISEASE:11767												98115				
DISEASE:11768												98114				
DISEASE:11769												98117				
DISEASE:11770												98116				
DISEASE:11771												98152				
DISEASE:11772												98153	LD45.0			
DISEASE:11773												98156				
DISEASE:11774												98157				
DISEASE:11775												98154	LD45.1			
DISEASE:11777												98158	LD53	Q98.6		
DISEASE:11778												98159				
DISEASE:11779												98141	LD43.0			
DISEASE:11780												98142	LD44			
DISEASE:11781												98058				
DISEASE:11782												98059				
DISEASE:11783												98060				
DISEASE:11784												98061				
DISEASE:11785												98054				
DISEASE:11786												98056				
DISEASE:11788												610573		G93.8;G31.8		
DISEASE:11789												98068				
DISEASE:11790												98069				
DISEASE:11792												98063				
DISEASE:11793												610569		Q68.8		
DISEASE:11794												98064				
DISEASE:11795												98043				
DISEASE:11796												98045				
DISEASE:11797												604680		G71.2		
DISEASE:11798												98044				
DISEASE:11799												98039				
DISEASE:11800												98038				
DISEASE:11801												98041				
DISEASE:11802												98050				
DISEASE:11803												98053				
DISEASE:11805												98047				
DISEASE:11806												98049				
DISEASE:11808												98086				
DISEASE:11809												98087				
DISEASE:11810												98101				
DISEASE:11811												98098				
DISEASE:11812												98099				
DISEASE:11813												98096				
DISEASE:11814												98097		G11.3		
DISEASE:11815												98095				
DISEASE:11816												611256	LD20.01	Q04.3		
DISEASE:11817												611314				
DISEASE:11818												611237		G20		
DISEASE:11819												611247	LD20.01	Q04.3		
DISEASE:11820												98074				
DISEASE:11821												611216		D61.0		
DISEASE:11822												98073				
DISEASE:11823												611223		Q87.2		
DISEASE:11824												611201		Q87.8		
DISEASE:11825												98071				
DISEASE:11826												611207		Q87.8		
DISEASE:11827												98070				
DISEASE:11828												613267	LD20.01	Q04.3		
DISEASE:11830												613274	LD20.01	Q04.3		
DISEASE:11831												611327				
DISEASE:11832												98078				
DISEASE:11833												98255				
DISEASE:11834												98258				
DISEASE:11835												98257				
DISEASE:11836												98260				
DISEASE:11837												98259				
DISEASE:11838												600832	1C19	A48.1		
DISEASE:11840												98253				
DISEASE:11841												600668		G93.8		
DISEASE:11842												600663		G96.8		
DISEASE:11843												600691		D68.4		
DISEASE:11845												98290	2B32			
DISEASE:11846												98289		C96.4		8317
DISEASE:11847												98288				
DISEASE:11848												98287				
DISEASE:11850												98291				
DISEASE:11854												98267		E66.8		
DISEASE:11855												98196				
DISEASE:11856												601028	LB17.0	Q42.0;Q42.2		
DISEASE:11857												601033	LB17.0	Q42.0;Q42.2		
DISEASE:11858												601008	LB17.0	Q42.3		
DISEASE:11859												601013	LB17.0	Q42.3;Q42.1		
DISEASE:11860												601018	LB17.0	Q42.0		
DISEASE:11861												601023	LB17.0	Q42.0		
DISEASE:11862												600984	LB17.0	Q42.0;Q42.2		
DISEASE:11863												600993	LB17.0	Q42.0;Q42.2		
DISEASE:11864												600998		Q43.7		
DISEASE:11865												601002	LB17.0	Q42.1;Q42.3		
DISEASE:11866												600961	LB17.0	Q42.0;Q42.2		
DISEASE:11867												600952	LB17.0	Q42.0;Q42.2		
DISEASE:11868												600975		Q42.0;Q42.2		
DISEASE:11869												600966		Q42.0;Q42.2		
DISEASE:11870												98167				
DISEASE:11871												98203				
DISEASE:11872												98204				
DISEASE:11876												97261	2C10.1	C25.9		
DISEASE:11880												97278	2C10.1	E16.8		
DISEASE:11881												97285	2B33.5	C85.7		
DISEASE:11882												97289	2C27.1	C37		
DISEASE:11885												97287	2C25.Y	D38.1		
DISEASE:11894												97339	LA90.2Y	Q28.3		
DISEASE:11895												97336	FB82.1	M92.0		
DISEASE:11897												97341	9B78.3Y	H35.3		
DISEASE:11899												97342				
DISEASE:11904												97354		E51.2		
DISEASE:11905												97353	8A00.25	F01.8		
DISEASE:11907												97355	8A00.1Y	F02.3*;G20+		
DISEASE:11910												97365		N28.1		
DISEASE:11911												97366		D30.0		
DISEASE:11912												97367	LB30.3	Q63.8		
DISEASE:11913												97368	LB30.3	Q63.8		
DISEASE:11914												97369	LB30.3	Q63.8		
DISEASE:11916												97552		N04.0		
DISEASE:11917												97555				
DISEASE:11918												97556				
DISEASE:11919												97557		N04.1		
DISEASE:11921												96183	LD45.0	Q99.8		
DISEASE:11922												96182		Q87.1		
DISEASE:11923												96181	LD45.0	Q99.8		
DISEASE:11924												96180	LD45.0	Q99.8		
DISEASE:11925												96179	LD45.0	Q99.8		
DISEASE:11926												96178		Q93.2		10855
DISEASE:11929												96191	LD45.1	Q99.8		
DISEASE:11930												96190	LD45.1	Q99.8		
DISEASE:11931												96188	LD45.0	Q99.8		
DISEASE:11932												96187	LD45.0	Q99.8		
DISEASE:11933												96186	LD45.0	Q99.8		
DISEASE:11934												96185	LD45.0	Q99.8		
DISEASE:11935												96184		Q99.8		
DISEASE:11936												96194	LD45.1	Q99.8		
DISEASE:11937												96195	LD45.1	Q99.8		
DISEASE:11938												96192	LD45.1	Q99.8		
DISEASE:11939												96193	LD2C	Q87.3		
DISEASE:11941												96210				
DISEASE:11942												96201	LD51	Q99.8		
DISEASE:11944												96269	LB42.0	Q52.0		
DISEASE:11947												96266		Q56.1		
DISEASE:11948												96265		Q56.1		
DISEASE:11949												96344				
DISEASE:11951												96325				
DISEASE:11953												96333				
DISEASE:11956												96369				
DISEASE:11965												97978				
DISEASE:11966												98004				
DISEASE:11967												97992				
DISEASE:11968												98006				
DISEASE:11969												600194		D68.4		
DISEASE:11971												98033				
DISEASE:11972												98036				
DISEASE:11973												98023				
DISEASE:11975												98027				
DISEASE:11976												98026				
DISEASE:11977												98028				
DISEASE:11978												97678	LD45.0	Q99.8		
DISEASE:11979												97599				
DISEASE:11980												97668				
DISEASE:11983												97569				
DISEASE:11984												97564		N05.7		
DISEASE:11985												97566		N03.6		12740
DISEASE:11986												97562		N02		
DISEASE:11987												97563		N05.7		
DISEASE:11988												97935				
DISEASE:11989												97929				
DISEASE:11990												97927				
DISEASE:11992												97955				
DISEASE:11993												97945				
DISEASE:11994												97944				
DISEASE:11995												97966				
DISEASE:11996												97962				
DISEASE:11997												97965				
DISEASE:11998												97957				
DISEASE:11999												95707	LB50	Q55.6		
DISEASE:12000												95708				
DISEASE:12001												95706	LB53.2;LB53.3;LB53.4	Q54.2;Q54.3		
DISEASE:12002												95701				
DISEASE:12004												95715		P72.2		
DISEASE:12005												95716	5A00.00	E03.0;E03.1		
DISEASE:12006												95713	5A00.01	E03.1		
DISEASE:12007												95714				
DISEASE:12008												95711		E03.1		
DISEASE:12010												95709		E28.8		
DISEASE:12011												95710		E28.3		
DISEASE:12012												95622				
DISEASE:12013												95621				
DISEASE:12014												95619		E23.1		
DISEASE:12015												95618				
DISEASE:12016												95617				
DISEASE:12017												95615				
DISEASE:12018												95614				
DISEASE:12020												95699	5A71.01	E25.0		12664
DISEASE:12021												95698		E25.0		
DISEASE:12022												95626	5A61.5	E23.2		
DISEASE:12023												95625				
DISEASE:12024												95623				
DISEASE:12025												95504				
DISEASE:12026												95505				
DISEASE:12029												95500	LA86.Y			
DISEASE:12030												95501				
DISEASE:12031												95502				
DISEASE:12032												95503				
DISEASE:12033												95512		E23.6		
DISEASE:12034												95513		E23.6		
DISEASE:12035												95611				
DISEASE:12036												95510		Q20.8		
DISEASE:12037												95488				
DISEASE:12038												95491	LA8C.Y	Q24.5		
DISEASE:12039												95485				
DISEASE:12040												95484				
DISEASE:12041												95487		Q24.8		
DISEASE:12042												95486		Q25.8		
DISEASE:12043												95496	5A61.0	E23.6		
DISEASE:12046												95493				
DISEASE:12047												95495				
DISEASE:12048												95494		E23.0		10602
DISEASE:12053												95457	LA87.0Y	Q22.4		
DISEASE:12054												95458				
DISEASE:12055												95449				
DISEASE:12056												95462		Q22.8		
DISEASE:12057												95463		Q22.8		
DISEASE:12059												95461	LA87.0Y	Q22.8		
DISEASE:12061												95483				
DISEASE:12062												95464				
DISEASE:12063												95465		Q23.3		
DISEASE:12065												95232	LD20.1	Q04.3		
DISEASE:12066												95161				
DISEASE:12068												95427		K91.2		
DISEASE:12069												95426				
DISEASE:12074												95429	LC50.Y	L81.7		10189;10188
DISEASE:12075												94091	8B60.Y	G12.2		
DISEASE:12076												94095				
DISEASE:12079												94125	5C53.21	G11.8		
DISEASE:12080												94145				
DISEASE:12082												94148				
DISEASE:12083												94149				
DISEASE:12084												94150	EC22.0	Q84.3		
DISEASE:12086												94063	LD2F.1Y	Q93.5		
DISEASE:12087												94066		Q87.8		
DISEASE:12091												94083	LD90.Y	G93.4		4235
DISEASE:12092												94080		D44.7		
DISEASE:12095												94088	GB90.4Y	N25.8		9496
DISEASE:12101												96172		Q93.2		10839
DISEASE:12102												96171		Q93.2		10837
DISEASE:12105												96168	LD44.D	Q93.5		
DISEASE:12107												96164				
DISEASE:12108												96160		Q93.5		
DISEASE:12109												96152				
DISEASE:12110												96150		Q93.5		
DISEASE:12112												96149	LD44.C0	Q93.5		
DISEASE:12114												96145	LD44.40	Q93.5		
DISEASE:12115												96136				
DISEASE:12116												96129	LD44.K1	Q93.5		
DISEASE:12118												96126	LD44.71	Q93.5		
DISEASE:12120												96123		Q93.0		
DISEASE:12121												96112	LD41.80	Q92.3		
DISEASE:12122												96107	LD41.K0	Q92.3		
DISEASE:12123												96106	LD41.F0	Q92.3		
DISEASE:12124												96105	LD41.C	Q92.3		
DISEASE:12125												96109	LD41.M	Q92.3		
DISEASE:12127												96097	LD41.40	Q92.3		
DISEASE:12128												96096	LD41.30	Q92.3		
DISEASE:12131												96101	LD41.80	Q92.3		
DISEASE:12132												96100	LD41.70	Q92.3		
DISEASE:12133												96094		Q92.3		
DISEASE:12134												96095	LD41.20	Q92.3		
DISEASE:12135												96092	LD41.P	Q99.8		
DISEASE:12136												96072	LD41.31	Q92.3		
DISEASE:12137												96074	LD41.61	Q92.3		
DISEASE:12138												96076	LD2C	Q87.3		
DISEASE:12139												96078		Q92.3		10755
DISEASE:12140												96069	LD41.01	Q92.3		
DISEASE:12142												96071	LD41.21	Q92.3		
DISEASE:12143												96070	LD41.11	Q92.3		
DISEASE:12144												96059	LD40.Y	Q92.1		
DISEASE:12145												96060	LD40.Y	Q92.1		
DISEASE:12147												96063	LD40.Y	Q92.1		
DISEASE:12148												95717	5A00.0Y	E03.1		
DISEASE:12149												95718				
DISEASE:12150												95719	5A00.01	E03.1		
DISEASE:12152												95721				
DISEASE:12153												96055	LD7Y	Q99.8		12480
DISEASE:12154												597623		G93.8		
DISEASE:12155												93547				
DISEASE:12156												93546				
DISEASE:12157												597733	EC23.20	E70.3		
DISEASE:12158												597738	LD2C	Q87.3		
DISEASE:12161												597887	DD7Y	K52.8		
DISEASE:12162												93555		D89.1		
DISEASE:12163												93554		D89.1		
DISEASE:12164												93557	2A83.51	D89.8		
DISEASE:12165												597939		E07.8		
DISEASE:12166												93556	2A83.50	D89.8		
DISEASE:12167												597743		Q87.8		
DISEASE:12168												93551				
DISEASE:12169												597746		Q87.8		
DISEASE:12170												93550				
DISEASE:12171												597749				
DISEASE:12172												93552	4A40.0Y	M32.0;M32.1;M32.8;M32.9		
DISEASE:12173												597874		E88.8		
DISEASE:12174												93562	5D00.2Y	E85.0		
DISEASE:12175												598216		C65;C66		
DISEASE:12176												93564				
DISEASE:12177												598603		Q87.8		
DISEASE:12178												598363	RA03	U10.9		
DISEASE:12180												93559		NO3.5		
DISEASE:12181												598164		Q04.8		
DISEASE:12182												93560	5D00.2Y	E85.0		
DISEASE:12183												93561	5D00.2Y	E85.0		
DISEASE:12185												93566				
DISEASE:12186												93567				
DISEASE:12187												93568	4A41.10	M33.2		12742
DISEASE:12189												93448				
DISEASE:12190												597201		K52.8		
DISEASE:12191												93447				
DISEASE:12192												93446				
DISEASE:12193												93445				
DISEASE:12194												93444				
DISEASE:12196												93441	LD24.E			
DISEASE:12197												93456				
DISEASE:12198												93455				
DISEASE:12199												93454	LD24.H			
DISEASE:12200												93453	LD25.3			
DISEASE:12201												93452				
DISEASE:12202												93451				
DISEASE:12203												93450				
DISEASE:12204												93449				
DISEASE:12205												93465				
DISEASE:12206												93461				
DISEASE:12207												93459				
DISEASE:12208												93460	LD2C	Q87.3		
DISEASE:12209												93457	LB99;LB9A;LB9B			
DISEASE:12210												93458				
DISEASE:12211												93474	5C56.30	E76.0		12561
DISEASE:12213												93472				
DISEASE:12215												93470				
DISEASE:12216												93471				
DISEASE:12217												93466				
DISEASE:12218												93469				
DISEASE:12219												93399	5C56.21	E77.1		
DISEASE:12220												93398	LD24.2Y	Q78.4		
DISEASE:12221												93400	5C56.21	E77.1		
DISEASE:12222												599373		G93.8		
DISEASE:12224												599376		G37.8		
DISEASE:12227												599418	4A00.14	T78.3		
DISEASE:12229												599480	3B22	D68.4		
DISEASE:12230												599485	3B22	D68.4		
DISEASE:12232												599490	3B2Y	D68.4		
DISEASE:12233												93409	LD26.2	Q73.8		
DISEASE:12234												599495	3B2Y	D68.4		
DISEASE:12235												599501	3B2Y	D68.4		
DISEASE:12236												93419				
DISEASE:12237												599507	3B2Y	D68.4		
DISEASE:12238												599513	3B22	D68.4		
DISEASE:12239												93421				
DISEASE:12240												599519		D68.4		
DISEASE:12241												93420				
DISEASE:12242												599579		D68.4		
DISEASE:12243												93422				
DISEASE:12244												93423				
DISEASE:12245												93424				
DISEASE:12246												93425				
DISEASE:12248												93427				
DISEASE:12249												93429	LD24.6			
DISEASE:12250												93430	LD24.7			
DISEASE:12251												93434	LD24.5			
DISEASE:12252												93435				
DISEASE:12253												93436	LD24.8			
DISEASE:12255												93438	LD24.A			
DISEASE:12257												93440	LD24.D			
DISEASE:12259												93359				
DISEASE:12262												93365				
DISEASE:12263												599082		Q87.0		
DISEASE:12264												93367				
DISEASE:12271												93385		Q73.8		
DISEASE:12272												93393		Q73.8		
DISEASE:12275												93397	LD26.1	Q73.8		984
DISEASE:12278												595356		Q81.2		
DISEASE:12280												595337				
DISEASE:12281												93962				
DISEASE:12282												93963				
DISEASE:12283												595351				
DISEASE:12285												595346				
DISEASE:12287												595216				
DISEASE:12288												93961				
DISEASE:12289												93955				
DISEASE:12290												93956				
DISEASE:12291												93957				
DISEASE:12293												94062		E88.8		
DISEASE:12294												94061				
DISEASE:12296												93975				
DISEASE:12299												93971		D56.0		
DISEASE:12300												93970		D56.0		
DISEASE:12301												93973		D56.0		
DISEASE:12306												93926	LA05.2	Q04.2		
DISEASE:12311												93952	LD90			
DISEASE:12312												595109		I49.8		
DISEASE:12313												93951				
DISEASE:12314												595133		D21.9		
DISEASE:12315												93950	LD90.Y	Q87.5		
DISEASE:12316												595098		I49.8		
DISEASE:12317												93947	LD90.Y	Q87.8		
DISEASE:12318												595105		I49.8		
DISEASE:12319												93946	LD90.Y	Q87.8		
DISEASE:12320												93945	LD90.Y	Q87.8		
DISEASE:12321												93944		Q87.8		
DISEASE:12322												93943		Q04.4		1542
DISEASE:12323												93942				
DISEASE:12324												93941	LA72	Q32.1		
DISEASE:12325												93940	LA72	Q32.1		
DISEASE:12326												93939	LA72	Q32.1		
DISEASE:12327												93938	LA72	Q32.1		
DISEASE:12328												93937				
DISEASE:12329												93626				
DISEASE:12331												93668				
DISEASE:12333												93618				
DISEASE:12337												93682				
DISEASE:12339												93686				
DISEASE:12340												93685	4B2Y	D47.7		6005
DISEASE:12341												93890				
DISEASE:12342												93688				
DISEASE:12343												93591		Q61.5		
DISEASE:12345												93587				
DISEASE:12346												93589		Q61.5		
DISEASE:12347												596426				
DISEASE:12349												93593				
DISEASE:12350												93594				
DISEASE:12351												93578				
DISEASE:12352												596008		Q87.8		
DISEASE:12353												93579				
DISEASE:12354												93575				
DISEASE:12355												93576				
DISEASE:12358												93580				
DISEASE:12359												93581	3A21.Y	D58.8		
DISEASE:12361												93609		N25.8		
DISEASE:12362												596759		D81.8		
DISEASE:12365												93614				
DISEASE:12367												596937		K76.8		
DISEASE:12369												596941		K74.6		
DISEASE:12373												596448	4A43.0	M35.8		
DISEASE:12374												93600		E74.8		10738
DISEASE:12377												596753		M35.8		
DISEASE:12379												93604				
DISEASE:12382												99094		Q21.0		
DISEASE:12383												99087	LA86.Y	Q24.5		
DISEASE:12384												99088				
DISEASE:12385												99089		Q24.5		
DISEASE:12386												99090		Q24.5		
DISEASE:12387												99083	LA8B.1	Q25.7		
DISEASE:12388												99084		Q25.6		4589
DISEASE:12389												99085				
DISEASE:12390												99086				
DISEASE:12395												99075	LA8B.Y	Q25.4		
DISEASE:12396												99078		Q25.4		
DISEASE:12398												99072	LA8B.Y	Q25.8		
DISEASE:12400												99068	LA87.4	Q21.2		
DISEASE:12401												99067		Q21.2		
DISEASE:12403												99069				
DISEASE:12404												99064	LA87.1Y	Q23.8		
DISEASE:12406												99066				
DISEASE:12407												99125	LA86.20	Q26.2		
DISEASE:12408												99126	LA86.Y			
DISEASE:12409												99123		Q26.8		
DISEASE:12411												99121	LA86.Y	Q26.8		
DISEASE:12413												99119		Q26.8		
DISEASE:12414												99120		Q26.8		
DISEASE:12415												99117	LA86.Y	Q21.1		
DISEASE:12416												99118	LA86.Y	Q21.1		
DISEASE:12417												99113		Q26.8		
DISEASE:12418												99114	LA86.Y	Q26.8		
DISEASE:12419												99111		Q26.1		
DISEASE:12420												99112		Q26.8		
DISEASE:12421												99110		Q26.8		
DISEASE:12422												99109		Q26.1		
DISEASE:12423												99108		Q21.1		
DISEASE:12429												99102		Q20.8		
DISEASE:12430												99101		Q20.8		
DISEASE:12431												99100	LA8F	Q20.8		
DISEASE:12432												99099	LA8G.0	Q24.2		12484
DISEASE:12433												99098	LA8F	Q24.2		12483
DISEASE:12434												99097				
DISEASE:12435												99096				
DISEASE:12436												99095		Q21.0		
DISEASE:12437												99151		G31.8		
DISEASE:12438												99143				
DISEASE:12439												99146				
DISEASE:12441												592850	8A43.0	G36.0		
DISEASE:12442												592856	8A41.1	G36.0		
DISEASE:12443												99135	3A10.0Y	D55.1		
DISEASE:12444												592869		G36.0		
DISEASE:12445												99138	3A10.1	D55.3		
DISEASE:12446												592873		G37.3		
DISEASE:12447												592885		H46		
DISEASE:12448												592888		H46		
DISEASE:12450												592894		G04.0		
DISEASE:12451												99142		Q87.8		
DISEASE:12452												592900		G04.0		
DISEASE:12453												99141		Q82.0		
DISEASE:12454												99130	LA8D	Q24.8		
DISEASE:12455												99129	LA8D	Q24.8		
DISEASE:12456												99131	LA8D	Q24.8		
DISEASE:12457												99134				
DISEASE:12458												99329		Q98.8		11985
DISEASE:12459												99330		Q98.8		
DISEASE:12460												99228	LD50.03;LD50.04	Q96.3;Q96.4		
DISEASE:12461												99324	LD45.1	Q99.8		
DISEASE:12464												99176	LA14.05	Q10.3		
DISEASE:12467												99170		Q10.3		
DISEASE:12469												99172	LA14.0Y	Q10.1		
DISEASE:12470												99171	LA14.03	Q10.1		
DISEASE:12471												99166		E78.5		
DISEASE:12472												99657	8A02.0Y	G24.1		2028
DISEASE:12473												99651				
DISEASE:12474												99654				
DISEASE:12475												99664				
DISEASE:12476												99663				
DISEASE:12477												99666				
DISEASE:12478												99665		K43.3;K43.4;K43.5;K43.6;K43.7;K43.0;K43.1;K43.2		
DISEASE:12479												99662				
DISEASE:12480												99429		E34.5		10597
DISEASE:12481												99642	LD24.3	Q77.7		
DISEASE:12483												99413	LD50.01;LD50.02	Q96.1;Q96.2		
DISEASE:12484												99647	LD24.2Y	Q78.8		
DISEASE:12485												99648				
DISEASE:12486												99649				
DISEASE:12487												99650				
DISEASE:12489												99646	LD24.2Y	Q78.8		
DISEASE:12491												592574		Q87.8		
DISEASE:12492												592564		G93.4		
DISEASE:12493												592570		Q87.8		
DISEASE:12494												99694		Q82.4		
DISEASE:12497												99718	8C73.Y	H47.2		8476
DISEASE:12498												590539	2A02.1Y	D36.1		
DISEASE:12499												99722				
DISEASE:12500												99723				
DISEASE:12501												589821	8C71.0	G71.1		
DISEASE:12502												589746				
DISEASE:12503												589827	8C71.0	G71.1		
DISEASE:12504												99701		G40.0		
DISEASE:12505												589824	8C71.0	G71.1		
DISEASE:12506												589833	8C71.0	G71.1		
